coord,semantic_name,family,geometry_class,auto_compose,ports,topology,review_state,selection_scope,review_note
"0,0",masonry_cap_straight_a,wall_cap,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"1,0",masonry_cap_straight_b,wall_cap,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"2,0",masonry_cap_corner_a,wall_cap,corner,True,E|S,corner_es,reviewed_safe,topology_then_family_variant,"Square cap corner; horizontal run continues east, vertical run continues south."
"3,0",masonry_cap_corner_b,wall_cap,corner,True,E|S,corner_es,reviewed_safe,topology_then_family_variant,"Square cap corner variant; same visual topology as 2,0."
"4,0",masonry_cap_corner_c,wall_cap,corner,True,E|S,corner_es,reviewed_safe,topology_then_family_variant,"Square cap corner variant; same visual topology as 2,0."
"5,0",masonry_cap_corner_d,wall_cap,corner,True,E|S,corner_es_damaged,reviewed_safe,topology_then_family_variant,Damaged/irregular square cap corner; east-to-south continuation.
"6,0",masonry_cap_junction_a,wall_cap,junction,True,W|E|S,tee_wes,reviewed_safe,topology_then_family_variant,Three-way cap junction: west/east horizontal plus south branch.
"7,0",masonry_cap_rounded_corner,wall_cap,rounded_corner,True,N|E,corner_ne_rounded,reviewed_safe,topology_then_family_variant,Rounded cap bend from north to east.
"8,0",masonry_cap_junction_b,wall_cap,junction,True,N|E|S|W,cross_nesw,reviewed_safe,topology_then_family_variant,Four-way cap junction.
"9,0",masonry_cap_junction_c,wall_cap,junction,True,N|E|S|W,cross_nesw,reviewed_safe,topology_then_family_variant,Four-way cap junction variant.
"10,0",masonry_cap_junction_d,wall_cap,junction,True,N|E|S|W,cross_nesw,reviewed_safe,topology_then_family_variant,Four-way cap junction variant.
"11,0",masonry_pier_isolated,wall_pier,isolated_pier,False,,authored_special,not_needed_manual,explicit_authored_only,
"12,0",masonry_cap_straight_short_a,wall_cap,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"13,0",masonry_cap_straight_short_b,wall_cap,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"0,1",civic_arch_opening_large_a,civic_opening,arch_opening,False,,authored_special,not_needed_manual,explicit_authored_only,
"1,1",civic_rect_opening_wide,civic_opening,rect_opening,False,,authored_special,not_needed_manual,explicit_authored_only,
"2,1",civic_arch_opening_small,civic_opening,arch_opening,False,,authored_special,not_needed_manual,explicit_authored_only,
"3,1",civic_recessed_window,civic_opening,window,False,,authored_special,not_needed_manual,explicit_authored_only,
"4,1",civic_arch_opening_large_b,civic_opening,arch_opening,False,,authored_special,not_needed_manual,explicit_authored_only,
"5,1",civic_arch_opening_medium,civic_opening,arch_opening,False,,authored_special,not_needed_manual,explicit_authored_only,
"6,1",civic_triple_niche,civic_opening,niche,False,,authored_special,not_needed_manual,explicit_authored_only,
"7,1",civic_barred_gate_wide,civic_opening,barred_gate,False,,authored_special,not_needed_manual,explicit_authored_only,
"8,1",civic_vertical_niche,civic_opening,niche,False,,authored_special,not_needed_manual,explicit_authored_only,
"9,1",civic_barred_gate_narrow_a,civic_opening,barred_gate,False,,authored_special,not_needed_manual,explicit_authored_only,
"10,1",civic_barred_gate_narrow_b,civic_opening,barred_gate,False,,authored_special,not_needed_manual,explicit_authored_only,
"11,1",civic_tall_arched_gate,civic_opening,arched_gate,False,,authored_special,not_needed_manual,explicit_authored_only,
"12,1",civic_arched_door_amber_header,civic_opening,arched_door,False,,authored_special,not_needed_manual,explicit_authored_only,
"13,1",civic_triple_window_bay,civic_opening,window_bay,False,,authored_special,not_needed_manual,explicit_authored_only,
"0,2",utility_railing_machine_a,utility_parapet,railing_machine,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"1,2",utility_railing_pier_a,utility_parapet,railing_pier,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"2,2",utility_railing_narrow,utility_parapet,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"3,2",utility_railing_pier_b,utility_parapet,railing_pier,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"4,2",utility_railing_machine_b,utility_parapet,railing_machine,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"5,2",utility_parapet_damaged,utility_parapet,damaged_transition,False,,authored_damage,not_needed_manual,explicit_authored_only,
"6,2",utility_rounded_corner,utility_parapet,rounded_corner,True,E|S,corner_es_rounded,reviewed_safe,topology_then_family_variant,Rounded utility edge turning east-to-south.
"7,2",low_retaining_plain_a,retaining_wall,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"8,2",low_retaining_damaged_a,retaining_wall,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"9,2",low_rail_plain_a,utility_parapet,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"10,2",low_rail_plain_b,utility_parapet,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"11,2",low_rail_amber_post,utility_parapet,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"12,2",service_panel_retaining,retaining_wall,service_panel,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"13,2",service_coil_retaining,retaining_wall,service_panel,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"0,3",rounded_retaining_corner_large,retaining_wall,rounded_corner,True,E|S,corner_es_rounded,reviewed_safe,topology_then_family_variant,Large rounded retaining corner turning east-to-south.
"1,3",pipe_retaining_straight_a,pipe_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"2,3",pipe_retaining_straight_b,pipe_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"3,3",pipe_retaining_straight_c,pipe_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"4,3",pipe_retaining_straight_d,pipe_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"5,3",pipe_retaining_corner,pipe_retaining,rounded_corner,True,W|S,corner_ws_rounded,reviewed_safe,topology_then_family_variant,Pipe retaining bend from west to south.
"6,3",pipe_retaining_corner_small,pipe_retaining,rounded_corner,True,W|S,corner_ws_rounded,reviewed_safe,topology_then_family_variant,Smaller pipe retaining bend from west to south.
"7,3",low_pipe_wall,pipe_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"8,3",railing_plain_a,civic_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"9,3",railing_plain_b,civic_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"10,3",railing_plain_c,civic_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"11,3",amber_service_gate_a,service_gate_edge,gate_edge,False,,authored_special,not_needed_manual,explicit_authored_only,
"12,3",amber_service_gate_b,service_gate_edge,gate_edge,False,,authored_special,not_needed_manual,explicit_authored_only,
"13,3",railing_dense,civic_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"0,4",broken_masonry_corner,retaining_wall,broken_corner,False,,authored_damage,not_needed_manual,explicit_authored_only,
"1,4",plain_masonry_wall_a,retaining_wall,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"2,4",plain_masonry_wall_damaged,retaining_wall,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"3,4",pipe_corner_a,pipe_retaining,corner,False,,manual_composite_corner,reviewed_manual_only,explicit_authored_only,Composite pipe/railing corner; author explicitly rather than neighbor-mask selecting.
"4,4",pipe_corner_b,pipe_retaining,corner,False,,manual_composite_corner,reviewed_manual_only,explicit_authored_only,Composite pipe/railing corner variant; author explicitly.
"5,4",pipe_retaining_straight_e,pipe_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"6,4",grille_retaining_straight_a,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"7,4",grille_retaining_terminal,grille_retaining,terminal,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"8,4",grille_retaining_straight_b,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"9,4",grille_retaining_straight_c,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"10,4",grille_retaining_straight_d,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"11,4",grille_retaining_straight_e,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"12,4",grille_retaining_broken,grille_retaining,broken,False,,authored_damage,not_needed_manual,explicit_authored_only,
"13,4",grille_retaining_post,grille_retaining,post,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"0,5",grille_retaining_terminal_right,grille_retaining,terminal,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"1,5",sloped_retaining_ramp,retaining_transition,slope,False,W|E,slope_rise_east,reviewed_manual_only,explicit_authored_only,Retaining ramp rises toward east; explicit elevation transition only.
"2,5",grille_wall_a,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"3,5",grille_wall_b,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"4,5",grille_wall_c,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"5,5",grille_wall_d,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"6,5",grille_wall_post,grille_retaining,post,False,,authored_punctuation,not_needed_manual,explicit_authored_only,
"7,5",damaged_grille_wall,grille_retaining,broken,False,,authored_damage,not_needed_manual,explicit_authored_only,
"8,5",heavy_grille_wall,grille_retaining,straight,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"9,5",ornamental_rail_a,ornamental_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"10,5",ornamental_rail_b,ornamental_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"11,5",ornamental_rail_c,ornamental_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"12,5",ornamental_rail_teal_a,ornamental_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"13,5",ornamental_rail_teal_b,ornamental_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
"0,6",ornamental_railing_intact,ornamental_railing,railing,True,W|E,straight_we,reviewed_safe,topology_then_family_variant,
